"filename", "language", "TypeScript", "SCSS", "HTML", "comment", "blank", "total"
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\dashboard\dashboard.component.ts", "TypeScript", 528, 0, 0, 33, 109, 670
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\dashboard\dashboard.module.ts", "TypeScript", 91, 0, 0, 0, 6, 97
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\dashboard\dashboard.service.ts", "TypeScript", 15, 0, 0, 0, 7, 22
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\dashboard\data.service.ts", "TypeScript", 234, 0, 0, 18, 38, 290
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\dashboard\datamap\datamap.component.html", "HTML", 0, 0, 49, 0, 4, 53
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\dashboard\datamap\datamap.component.scss", "SCSS", 0, 68, 0, 1, 5, 74
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\dashboard\datamap\datamap.component.ts", "TypeScript", 96, 0, 0, 0, 13, 109
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\dashboard\datamap\datamap.service.ts", "TypeScript", 95, 0, 0, 0, 10, 105
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\dashboard\dynamic-chart\dynamic-chart.component.html", "HTML", 0, 0, 26, 0, 0, 26
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\dashboard\dynamic-chart\dynamic-chart.component.ts", "TypeScript", 159, 0, 0, 2, 17, 178
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\dashboard\edit-task\edit-task.component.html", "HTML", 0, 0, 44, 2, 1, 47
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\dashboard\edit-task\edit-task.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\dashboard\edit-task\edit-task.component.ts", "TypeScript", 119, 0, 0, 0, 18, 137
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\dashboard\feed\feed.component.html", "HTML", 0, 0, 32, 0, 1, 33
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\dashboard\feed\feed.component.scss", "SCSS", 0, 200, 0, 0, 20, 220
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\dashboard\feed\feed.component.ts", "TypeScript", 22, 0, 0, 0, 7, 29
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\dashboard\feed\feed.service.ts", "TypeScript", 72, 0, 0, 0, 4, 76
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\dashboard\helper.ts", "TypeScript", 36, 0, 0, 0, 4, 40
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\dashboard\todo\todo.component.html", "HTML", 0, 0, 27, 0, 1, 28
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\dashboard\todo\todo.component.scss", "SCSS", 0, 67, 0, 0, 1, 68
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\dashboard\todo\todo.component.ts", "TypeScript", 29, 0, 0, 0, 8, 37
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\dashboard\todo\todo.service.ts", "TypeScript", 21, 0, 0, 0, 4, 25
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\editors\ckeditor\ckeditor.component.html", "HTML", 0, 0, 9, 0, 0, 9
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\editors\ckeditor\ckeditor.component.ts", "TypeScript", 29, 0, 0, 0, 4, 33
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\editors\editors.module.ts", "TypeScript", 22, 0, 0, 0, 3, 25
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\error\error.component.html", "HTML", 0, 0, 21, 0, 3, 24
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\error\error.component.ts", "TypeScript", 16, 0, 0, 0, 3, 19
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\form-elements\form-elements.module.ts", "TypeScript", 40, 0, 0, 0, 4, 44
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\form-elements\inputs\file-uploader\file-uploader.component.html", "HTML", 0, 0, 10, 0, 1, 11
